;Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
0;raw_000000_000000.ppm;27;27;6;5;21;22;0
1;raw_000000_000001.ppm;27;29;6;6;22;24;0
2;raw_000000_000002.ppm;28;29;6;5;23;24;0
3;raw_000000_000003.ppm;29;30;6;5;24;25;0
4;raw_000000_000004.ppm;29;30;5;5;23;25;0
5;raw_000000_000005.ppm;31;31;6;5;25;26;0
6;raw_000000_000006.ppm;32;32;6;5;26;27;0
7;raw_000000_000007.ppm;31;33;5;5;26;28;0
8;raw_000000_000008.ppm;31;35;5;5;26;30;0
9;raw_000000_000009.ppm;31;36;5;6;26;31;0
10;raw_000000_000010.ppm;33;37;6;6;27;31;0
11;raw_000000_000011.ppm;33;37;5;5;27;31;0
12;raw_000000_000012.ppm;35;38;6;5;29;32;0
13;raw_000000_000013.ppm;35;38;6;5;30;33;0
14;raw_000000_000014.ppm;35;38;6;5;30;33;0
15;raw_000000_000015.ppm;35;39;5;5;30;34;0
16;raw_000000_000016.ppm;37;41;6;6;32;36;0
17;raw_000000_000017.ppm;37;42;5;5;32;37;0
18;raw_000000_000018.ppm;40;46;5;6;34;40;0
19;raw_000000_000019.ppm;43;48;6;5;38;42;0
20;raw_000000_000020.ppm;44;50;6;5;39;44;0
21;raw_000000_000021.ppm;45;51;5;5;40;46;0
22;raw_000000_000022.ppm;49;55;6;6;44;50;0
23;raw_000000_000023.ppm;49;55;5;5;44;50;0
24;raw_000000_000024.ppm;53;59;6;5;47;53;0
25;raw_000000_000025.ppm;54;62;5;6;49;57;0
26;raw_000000_000026.ppm;59;68;6;6;54;62;0
27;raw_000000_000027.ppm;63;73;5;6;58;67;0
28;raw_000000_000028.ppm;72;81;6;8;65;73;0
29;raw_000000_000029.ppm;78;85;7;7;71;78;0
30;raw_000000_000030.ppm;30;26;5;5;25;21;0
31;raw_000000_000031.ppm;32;28;6;5;27;23;0
32;raw_000000_000032.ppm;31;28;5;5;26;23;0
33;raw_000000_000033.ppm;31;28;6;5;25;23;0
34;raw_000000_000034.ppm;32;29;6;5;27;24;0
35;raw_000000_000035.ppm;33;31;6;6;28;26;0
36;raw_000000_000036.ppm;34;31;6;6;28;25;0
37;raw_000000_000037.ppm;34;32;6;6;29;26;0
38;raw_000000_000038.ppm;32;31;5;5;27;26;0
39;raw_000000_000039.ppm;35;33;5;6;30;28;0
40;raw_000000_000040.ppm;35;35;5;5;30;30;0
41;raw_000000_000041.ppm;37;37;5;5;32;32;0
42;raw_000000_000042.ppm;38;38;5;5;33;33;0
43;raw_000000_000043.ppm;38;39;5;5;33;33;0
44;raw_000000_000044.ppm;42;42;5;5;37;37;0
45;raw_000000_000045.ppm;42;43;5;6;37;38;0
46;raw_000000_000046.ppm;45;42;6;5;40;37;0
47;raw_000000_000047.ppm;42;43;5;5;37;38;0
48;raw_000000_000048.ppm;44;45;5;6;39;40;0
49;raw_000000_000049.ppm;48;49;5;6;43;44;0
50;raw_000000_000050.ppm;52;50;5;5;46;45;0
51;raw_000000_000051.ppm;55;54;5;6;50;49;0
52;raw_000000_000052.ppm;58;54;6;5;52;49;0
53;raw_000000_000053.ppm;60;59;6;5;55;53;0
54;raw_000000_000054.ppm;63;64;6;6;58;59;0
55;raw_000000_000055.ppm;67;68;6;6;61;62;0
56;raw_000000_000056.ppm;73;74;7;7;67;68;0
57;raw_000000_000057.ppm;81;81;8;7;74;74;0
58;raw_000000_000058.ppm;85;88;7;7;78;81;0
59;raw_000000_000059.ppm;95;96;8;8;87;88;0
60;raw_000000_000060.ppm;30;31;5;5;25;26;0
61;raw_000000_000061.ppm;32;32;6;5;26;27;0
62;raw_000000_000062.ppm;33;34;6;6;28;29;0
63;raw_000000_000063.ppm;33;33;6;5;28;28;0
64;raw_000000_000064.ppm;35;36;6;6;30;31;0
65;raw_000000_000065.ppm;35;37;5;6;30;32;0
66;raw_000000_000066.ppm;35;37;5;6;30;32;0
67;raw_000000_000067.ppm;36;37;6;6;31;32;0
68;raw_000000_000068.ppm;37;38;5;5;32;33;0
69;raw_000000_000069.ppm;40;42;6;6;35;37;0
70;raw_000000_000070.ppm;40;42;6;6;35;37;0
71;raw_000000_000071.ppm;39;42;5;5;34;37;0
72;raw_000000_000072.ppm;44;46;6;6;38;41;0
73;raw_000000_000073.ppm;45;50;6;6;40;45;0
74;raw_000000_000074.ppm;46;49;6;5;41;44;0
75;raw_000000_000075.ppm;48;51;6;6;43;46;0
76;raw_000000_000076.ppm;50;53;6;6;44;48;0
77;raw_000000_000077.ppm;52;57;5;6;47;52;0
78;raw_000000_000078.ppm;55;58;5;6;50;53;0
79;raw_000000_000079.ppm;59;60;5;5;53;55;0
80;raw_000000_000080.ppm;61;64;5;6;56;59;0
81;raw_000000_000081.ppm;64;69;5;7;59;63;0
82;raw_000000_000082.ppm;73;77;6;7;67;70;0
83;raw_000000_000083.ppm;81;82;7;7;73;75;0
84;raw_000000_000084.ppm;88;88;8;7;81;81;0
85;raw_000000_000085.ppm;98;101;9;9;90;93;0
86;raw_000000_000086.ppm;109;112;10;10;100;103;0
87;raw_000000_000087.ppm;125;130;11;12;115;119;0
88;raw_000000_000088.ppm;144;147;12;12;132;135;0
89;raw_000000_000089.ppm;178;185;16;16;163;170;0
90;raw_000000_000090.ppm;37;39;6;6;32;34;0
91;raw_000000_000091.ppm;36;36;6;5;31;31;0
92;raw_000000_000092.ppm;37;38;5;5;32;33;0
